Date	Open	High	Low	Close	Volume	Adj Close
06/06/2012	214.63	218.4	214.52	217.64	2710100	217.64
05/06/2012	213.85	216.86	211.16	213.21	3543900	213.21
04/06/2012	207.4	215.35	206.37	214.57	4299600	214.57
01/06/2012	208.44	211.23	207.3	208.22	3951500	208.22
31/05/2012	209.48	213.79	207.11	212.91	4944000	212.91
30/05/2012	212.14	212.98	207.75	209.23	4078200	209.23
29/05/2012	214.3	216.55	212.29	214.75	2693900	214.75
25/05/2012	214.99	215.98	212.22	212.89	2171400	212.89
24/05/2012	216.98	217.66	212.7	215.24	3141100	215.24
23/05/2012	214.71	217.55	211.18	217.28	4243800	217.28
22/05/2012	218.31	218.87	213.96	215.33	3733100	215.33
21/05/2012	214.03	219.98	212.82	218.11	3579800	218.11
18/05/2012	219.41	219.63	212.81	213.85	5231700	213.85
17/05/2012	225.05	226	218.09	218.36	4505500	218.36
16/05/2012	225	228	222.5	224.06	5261800	224.06
15/05/2012	226.5	230.61	223	224.39	5713700	224.39
14/05/2012	225.6	227.29	222.51	222.93	3096600	222.93
11/05/2012	225.95	230.68	225.73	227.68	4193600	227.68
10/05/2012	223.91	229.08	221.95	226.69	4648400	226.69
09/05/2012	220.59	225.78	220.16	222.98	3712000	222.98
08/05/2012	223.15	225.39	218.2	223.9	4522400	223.9
07/05/2012	222.36	226.87	222.29	225.16	3314300	225.16
04/05/2012	227.8	229.72	223.74	223.99	4585200	223.99
03/05/2012	229.74	232.53	228.03	229.45	4055500	229.45
02/05/2012	227.82	231.44	227.4	230.25	4593400	230.25
01/05/2012	229.4	232.97	228.4	230.04	6754900	230.04
30/04/2012	223.95	233.84	223.05	231.9	9756900	231.9
27/04/2012	224.83	228.69	220.22	226.85	22116900	226.85
26/04/2012	193.57	196.36	193.02	195.99	10234000	195.99
25/04/2012	191.67	194.8	191.6	194.42	3955100	194.42
24/04/2012	188.68	190.7	186.51	190.33	3376300	190.33
23/04/2012	188.99	188.99	185.51	188.24	3481000	188.24
20/04/2012	192.34	193.48	189.8	189.98	3243600	189.98
19/04/2012	192.93	194.55	189.75	191.1	4002400	191.1
18/04/2012	188.82	193.45	188.74	191.07	4001900	191.07
17/04/2012	187.21	190.04	186.87	188.39	2829200	188.39
16/04/2012	189.01	189.47	183.65	185.5	4044300	185.5
13/04/2012	189.9	189.94	186.26	188.46	3431800	188.46
12/04/2012	188.06	192.26	185.61	190.69	4027900	190.69
11/04/2012	189.63	191.97	186.79	187.97	4337800	187.97
10/04/2012	192.75	193.52	186.57	186.98	4455000	186.98
09/04/2012	192.02	194.2	190.5	191.87	3135900	191.87
05/04/2012	193.55	196.03	193.55	194.39	3217500	194.39
04/04/2012	196.95	197.68	192.36	193.99	5456900	193.99
03/04/2012	198.24	202.39	197.5	199.66	5000700	199.66
02/04/2012	198.02	199.9	197	198.05	6430300	198.05
30/03/2012	205.02	206.85	201.87	202.51	4438100	202.51
29/03/2012	201.28	205.31	200.63	204.61	5711200	204.61
28/03/2012	206.14	207	200.31	201.16	6245000	201.16
27/03/2012	203.59	209.85	202.88	205.44	9600800	205.44
26/03/2012	196.48	202.97	195.5	202.87	7613700	202.87
23/03/2012	192.01	196.2	191.8	195.04	5984000	195.04
22/03/2012	190.54	194.06	190.26	192.4	3739600	192.4
21/03/2012	192.5	194.28	191.26	191.73	4214400	191.73
20/03/2012	184.88	194.41	182.88	192.33	9165400	192.33
19/03/2012	183.45	186.68	183	185.52	3903400	185.52
16/03/2012	183.28	185.68	182.35	185.05	4934000	185.05
15/03/2012	182.02	184.43	180.3	184.43	4160100	184.43
14/03/2012	183.65	184.32	181.14	182.26	3699700	182.26
13/03/2012	183.92	184.87	180.77	184.59	4405800	184.59
12/03/2012	184.13	185.4	182.2	183.39	2587600	183.39
09/03/2012	186.79	187.2	183.44	184.32	4510600	184.32
08/03/2012	184.17	188.38	183.8	187.64	4221500	187.64
07/03/2012	182.65	185.5	182.4	183.77	4951500	183.77
06/03/2012	178.68	183.5	178.04	181.09	5612200	181.09
05/03/2012	179	181.82	178.18	180.26	4682700	180.26
02/03/2012	179.48	181.84	178.92	179.3	3657800	179.3
01/03/2012	179.89	180.49	176.58	180.04	4936000	180.04
29/02/2012	183.89	184	179.01	179.69	5300300	179.69
28/02/2012	178.9	184.29	177.95	183.8	5764500	183.8
27/02/2012	177.54	179.19	176.5	178.53	3706200	178.53
24/02/2012	179.7	180.74	178.37	179.13	3668700	179.13
23/02/2012	179.64	180.75	176.96	178.89	5153800	178.89
22/02/2012	181.95	182.99	180.29	180.58	5785400	180.58
21/02/2012	182.65	184.75	180.58	182.26	6756500	182.26
17/02/2012	180.09	183.41	179.36	182.5	7418100	182.5
16/02/2012	177.79	181.68	175.14	179.93	12563800	179.93
